geo,gender,age_group,stage,population_pred,year,operator
Newfoundland and Labrador,Women+,100 years and older,after_aging,213.4,2023,fixed20
Nova Scotia,Men+,-1 year,after_aging,0.0,2023,fixed20
Nova Scotia,Men+,0 to 4 years,after_aging,17250.4,2023,fixed20
Nova Scotia,Men+,5 to 9 years,after_aging,24183.0,2023,fixed20
Nova Scotia,Men+,10 to 14 years,after_aging,25942.800000000003,2023,fixed20
Nova Scotia,Men+,15 to 19 years,after_aging,26097.4,2023,fixed20
Nova Scotia,Men+,20 to 24 years,after_aging,32259.000000000004,2023,fixed20
Nova Scotia,Men+,25 to 29 years,after_aging,35267.0,2023,fixed20
Nova Scotia,Men+,30 to 34 years,after_aging,34103.200000000004,2023,fixed20
Nova Scotia,Men+,35 to 39 years,after_aging,32199.4,2023,fixed20
Nova Scotia,Men+,40 to 44 years,after_aging,30207.0,2023,fixed20
Nova Scotia,Men+,45 to 49 years,after_aging,29830.4,2023,fixed20
Nova Scotia,Men+,50 to 54 years,after_aging,31217.000000000004,2023,fixed20
Nova Scotia,Men+,55 to 59 years,after_aging,36060.4,2023,fixed20
Nova Scotia,Men+,60 to 64 years,after_aging,38632.2,2023,fixed20
Nova Scotia,Men+,65 to 69 years,after_aging,35486.8,2023,fixed20
Nova Scotia,Men+,70 to 74 years,after_aging,29702.800000000003,2023,fixed20
Nova Scotia,Men+,75 to 79 years,after_aging,22110.4,2023,fixed20
Nova Scotia,Men+,80 to 84 years,after_aging,13474.2,2023,fixed20
Nova Scotia,Men+,85 to 89 years,after_aging,7188.200000000001,2023,fixed20
Nova Scotia,Men+,90 to 94 years,after_aging,2941.8,2023,fixed20
Nova Scotia,Men+,95 to 99 years,after_aging,767.8000000000001,2023,fixed20
Nova Scotia,Men+,100 years and older,after_aging,138.8,2023,fixed20
Nova Scotia,Women+,-1 year,after_aging,0.0,2023,fixed20
Nova Scotia,Women+,0 to 4 years,after_aging,16476.0,2023,fixed20
Nova Scotia,Women+,5 to 9 years,after_aging,23273.4,2023,fixed20
Nova Scotia,Women+,10 to 14 years,after_aging,24475.800000000003,2023,fixed20
Nova Scotia,Women+,15 to 19 years,after_aging,24224.2,2023,fixed20
Nova Scotia,Women+,20 to 24 years,after_aging,29137.6,2023,fixed20
Nova Scotia,Women+,25 to 29 years,after_aging,32406.0,2023,fixed20
Nova Scotia,Women+,30 to 34 years,after_aging,33342.8,2023,fixed20
Nova Scotia,Women+,35 to 39 years,after_aging,32208.600000000002,2023,fixed20
Nova Scotia,Women+,40 to 44 years,after_aging,31508.4,2023,fixed20
Nova Scotia,Women+,45 to 49 years,after_aging,31102.2,2023,fixed20
Nova Scotia,Women+,50 to 54 years,after_aging,33048.2,2023,fixed20
Nova Scotia,Women+,55 to 59 years,after_aging,37751.600000000006,2023,fixed20
Nova Scotia,Women+,60 to 64 years,after_aging,40530.600000000006,2023,fixed20
Nova Scotia,Women+,65 to 69 years,after_aging,37701.4,2023,fixed20
Nova Scotia,Women+,70 to 74 years,after_aging,32348.4,2023,fixed20
Nova Scotia,Women+,75 to 79 years,after_aging,24845.2,2023,fixed20
