geo,geography_level,component,gender,age_group,period,start_year,end_year,value
"South Coast-Burin Peninsula, Newfoundland and Labrador",economic_region,net_non_permanent_residents,Men+,All ages,2024 / 2025,2024,2025,-6.0
"South Coast-Burin Peninsula, Newfoundland and Labrador",economic_region,net_non_permanent_residents,Women+,All ages,2024 / 2025,2024,2025,25.0
"South Coast-Burin Peninsula, Newfoundland and Labrador",economic_region,residual_deviation,Men+,All ages,2024 / 2025,2024,2025,
"South Coast-Burin Peninsula, Newfoundland and Labrador",economic_region,residual_deviation,Women+,All ages,2024 / 2025,2024,2025,
"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",economic_region,births,Men+,All ages,2024 / 2025,2024,2025,328.0
"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",economic_region,births,Women+,All ages,2024 / 2025,2024,2025,370.0
"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",economic_region,deaths,Men+,All ages,2024 / 2025,2024,2025,710.0
"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",economic_region,deaths,Women+,All ages,2024 / 2025,2024,2025,542.0
"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",economic_region,immigrants,Men+,All ages,2024 / 2025,2024,2025,498.0
"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",economic_region,immigrants,Women+,All ages,2024 / 2025,2024,2025,479.0
"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",economic_region,emigrants,Men+,All ages,2024 / 2025,2024,2025,4.0
"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",economic_region,emigrants,Women+,All ages,2024 / 2025,2024,2025,22.0
"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",economic_region,returning_emigrants,Men+,All ages,2024 / 2025,2024,2025,4.0
"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",economic_region,returning_emigrants,Women+,All ages,2024 / 2025,2024,2025,9.0
"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",economic_region,net_temporary_emigration,Men+,All ages,2024 / 2025,2024,2025,
"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",economic_region,net_temporary_emigration,Women+,All ages,2024 / 2025,2024,2025,
"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",economic_region,net_interprovincial_migration,Men+,All ages,2024 / 2025,2024,2025,50.0
