model,target,geo,rmse,mae,relative_rmse,n
fixed20_aging_births,P_tot,Manitoba,19448.34999856448,16434.999999999924,0.013096390879670308,3
fixed20_aging_births,P_tot,New Brunswick,15453.416731152585,13904.0,0.01811599732147975,3
fixed20_aging_births,P_tot,Newfoundland and Labrador,3680.112770011267,3119.3333333333335,0.006750151360189513,3
fixed20_aging_births,P_tot,Nova Scotia,17562.32097417646,15133.999999999962,0.016316708858798715,3
fixed20_aging_births,P_tot,Ontario,291380.5348280256,247742.66666666666,0.018197810223007743,3
fixed20_aging_births,P_tot,Prince Edward Island,4133.014839879792,3808.9999999999905,0.023128230777167275,3
fixed20_aging_births,P_tot,Quebec,69924.80903084249,60942.66666666543,0.007805424444997643,3
fixed20_aging_births,P_tot,Saskatchewan,18032.626846912688,16292.333333333256,0.014522593461177805,3
fixed20_aging_births,P_tot,Yukon,1210.8181806805953,1040.0,0.025708847932238103,3
fixed20_aging_births_deaths,P1_0_14,ALL,17647.932012767717,11209.066666666648,0.031246578283652526,33
fixed20_aging_births_deaths,P1_0_14,Alberta,25713.60712826313,25191.199999999953,0.029784204418003533,3
fixed20_aging_births_deaths,P1_0_14,British Columbia,13111.544033662298,12238.86666666662,0.017539236622940515,3
fixed20_aging_births_deaths,P1_0_14,Manitoba,4774.397813337283,4579.8666666666495,0.017982665963605586,3
fixed20_aging_births_deaths,P1_0_14,New Brunswick,4952.973681873679,4854.53333333333,0.04117744178517182,3
fixed20_aging_births_deaths,P1_0_14,Newfoundland and Labrador,1552.3309784535882,1538.800000000003,0.022776479766027265,3
fixed20_aging_births_deaths,P1_0_14,Nova Scotia,4192.6505236345665,4032.066666666651,0.028761305333149714,3
fixed20_aging_births_deaths,P1_0_14,Ontario,45038.23358673525,43666.1333333333,0.019109087406318486,3
fixed20_aging_births_deaths,P1_0_14,Prince Edward Island,734.6954924774376,725.5999999999985,0.029183921368469794,3
fixed20_aging_births_deaths,P1_0_14,Quebec,21607.523947921425,21047.933333333272,0.01565742182197727,3
fixed20_aging_births_deaths,P1_0_14,Saskatchewan,5443.43971767852,5271.0,0.023390175964357617,3
fixed20_aging_births_deaths,P1_0_14,Yukon,170.60847966421017,153.73333333333298,0.02325316609843399,3
fixed20_aging_births_deaths,P2_15_64,ALL,125152.95943057613,67773.3878787877,0.0512542173166023,33
fixed20_aging_births_deaths,P2_15_64,Alberta,129694.18247415719,124449.2666666666,0.039664089668562316,3
fixed20_aging_births_deaths,P2_15_64,British Columbia,117770.90974837515,102791.9999999997,0.03139430746947233,3
fixed20_aging_births_deaths,P2_15_64,Manitoba,26200.280666435534,24494.466666666598,0.027079068655144728,3
fixed20_aging_births_deaths,P2_15_64,New Brunswick,18450.54957952922,17615.06666666665,0.03444753876311669,3
fixed20_aging_births_deaths,P2_15_64,Newfoundland and Labrador,7613.881387746079,7359.066666666632,0.022246613979138227,3
fixed20_aging_births_deaths,P2_15_64,Nova Scotia,23310.229903628115,22049.333333333296,0.033741262465101965,3
fixed20_aging_births_deaths,P2_15_64,Ontario,354735.9631079234,310382.93333333236,0.033182806859996195,3
fixed20_aging_births_deaths,P2_15_64,Prince Edward Island,4864.850816486215,4628.799999999993,0.041711473077365495,3
fixed20_aging_births_deaths,P2_15_64,Quebec,116586.33716212155,108579.59999999963,0.02055312553633547,3
fixed20_aging_births_deaths,P2_15_64,Saskatchewan,22837.485177663435,21880.599999999937,0.028894627391593278,3
fixed20_aging_births_deaths,P2_15_64,Yukon,1384.5986855403255,1276.1333333333325,0.04237875506673376,3
fixed20_aging_births_deaths,P3_65plus,ALL,2093.680771012913,1089.6484848484845,0.0029419187726342773,33
fixed20_aging_births_deaths,P3_65plus,Alberta,5014.874564067665,5012.86666666662,0.00675397917513782,3
fixed20_aging_births_deaths,P3_65plus,British Columbia,763.2612920881797,538.2000000000311,0.000676002246152561,3
fixed20_aging_births_deaths,P3_65plus,Manitoba,329.00417423897227,283.80000000000774,0.0013057344732240739,3
fixed20_aging_births_deaths,P3_65plus,New Brunswick,503.88001217220545,407.7333333333275,0.00255608845041938,3
fixed20_aging_births_deaths,P3_65plus,Newfoundland and Labrador,262.5661567427631,236.79999999999805,0.001948027288332561,3
fixed20_aging_births_deaths,P3_65plus,Nova Scotia,314.86960263997776,210.5999999999864,0.0013135256110353105,3
fixed20_aging_births_deaths,P3_65plus,Ontario,4637.815734445331,4469.400000000217,0.001564403581263335,3
fixed20_aging_births_deaths,P3_65plus,Prince Edward Island,107.4152689332389,93.66666666666667,0.0029114300009912696,3
fixed20_aging_births_deaths,P3_65plus,Quebec,615.9073739883106,505.4666666664804,0.0003231357913006968,3
fixed20_aging_births_deaths,P3_65plus,Saskatchewan,229.01833987695582,166.06666666666084,0.0010476593772962297,3
fixed20_aging_births_deaths,P3_65plus,Yukon,63.79184900910167,61.53333333333345,0.008999555468013403,3
fixed20_aging_births_deaths,P_tot,ALL,141570.23414492316,79121.06060606032,0.03807416433082469,33
fixed20_aging_births_deaths,P_tot,Alberta,160166.32583453157,154653.33333333334,0.032850246415219976,3
