geo,gender,age_group,stage,population_pred,year,operator
Manitoba,Women+,30 to 34 years,after_aging,47241.4,2022,fixed20
Manitoba,Women+,35 to 39 years,after_aging,46589.600000000006,2022,fixed20
Manitoba,Women+,40 to 44 years,after_aging,44096.8,2022,fixed20
Manitoba,Women+,45 to 49 years,after_aging,41443.0,2022,fixed20
Manitoba,Women+,50 to 54 years,after_aging,40210.4,2022,fixed20
Manitoba,Women+,55 to 59 years,after_aging,43460.0,2022,fixed20
Manitoba,Women+,60 to 64 years,after_aging,43501.0,2022,fixed20
Manitoba,Women+,65 to 69 years,after_aging,38613.0,2022,fixed20
Manitoba,Women+,70 to 74 years,after_aging,32576.4,2022,fixed20
Manitoba,Women+,75 to 79 years,after_aging,23373.600000000002,2022,fixed20
Manitoba,Women+,80 to 84 years,after_aging,16381.800000000003,2022,fixed20
Manitoba,Women+,85 to 89 years,after_aging,11379.400000000001,2022,fixed20
Manitoba,Women+,90 to 94 years,after_aging,6942.6,2022,fixed20
Manitoba,Women+,95 to 99 years,after_aging,2947.2000000000003,2022,fixed20
Manitoba,Women+,100 years and older,after_aging,840.4000000000001,2022,fixed20
New Brunswick,Men+,-1 year,after_aging,0.0,2022,fixed20
New Brunswick,Men+,0 to 4 years,after_aging,13638.400000000001,2022,fixed20
New Brunswick,Men+,5 to 9 years,after_aging,19078.4,2022,fixed20
New Brunswick,Men+,10 to 14 years,after_aging,20366.0,2022,fixed20
New Brunswick,Men+,15 to 19 years,after_aging,20196.2,2022,fixed20
New Brunswick,Men+,20 to 24 years,after_aging,22429.0,2022,fixed20
New Brunswick,Men+,25 to 29 years,after_aging,23201.2,2022,fixed20
New Brunswick,Men+,30 to 34 years,after_aging,22860.2,2022,fixed20
New Brunswick,Men+,35 to 39 years,after_aging,23401.4,2022,fixed20
New Brunswick,Men+,40 to 44 years,after_aging,23966.600000000002,2022,fixed20
New Brunswick,Men+,45 to 49 years,after_aging,24964.800000000003,2022,fixed20
New Brunswick,Men+,50 to 54 years,after_aging,26041.8,2022,fixed20
New Brunswick,Men+,55 to 59 years,after_aging,30099.800000000003,2022,fixed20
New Brunswick,Men+,60 to 64 years,after_aging,31030.600000000002,2022,fixed20
New Brunswick,Men+,65 to 69 years,after_aging,28481.4,2022,fixed20
New Brunswick,Men+,70 to 74 years,after_aging,24624.4,2022,fixed20
New Brunswick,Men+,75 to 79 years,after_aging,17087.8,2022,fixed20
New Brunswick,Men+,80 to 84 years,after_aging,10433.8,2022,fixed20
New Brunswick,Men+,85 to 89 years,after_aging,5594.2,2022,fixed20
New Brunswick,Men+,90 to 94 years,after_aging,2327.0,2022,fixed20
New Brunswick,Men+,95 to 99 years,after_aging,636.6,2022,fixed20
New Brunswick,Men+,100 years and older,after_aging,105.4,2022,fixed20
New Brunswick,Women+,-1 year,after_aging,0.0,2022,fixed20
New Brunswick,Women+,0 to 4 years,after_aging,13000.800000000001,2022,fixed20
New Brunswick,Women+,5 to 9 years,after_aging,18366.2,2022,fixed20
New Brunswick,Women+,10 to 14 years,after_aging,19524.6,2022,fixed20
New Brunswick,Women+,15 to 19 years,after_aging,19273.2,2022,fixed20
New Brunswick,Women+,20 to 24 years,after_aging,20811.800000000003,2022,fixed20
New Brunswick,Women+,25 to 29 years,after_aging,21710.000000000004,2022,fixed20
New Brunswick,Women+,30 to 34 years,after_aging,22425.600000000002,2022,fixed20
New Brunswick,Women+,35 to 39 years,after_aging,23765.2,2022,fixed20
New Brunswick,Women+,40 to 44 years,after_aging,24480.6,2022,fixed20
New Brunswick,Women+,45 to 49 years,after_aging,25673.800000000003,2022,fixed20
New Brunswick,Women+,50 to 54 years,after_aging,26514.000000000004,2022,fixed20
New Brunswick,Women+,55 to 59 years,after_aging,30757.600000000002,2022,fixed20
New Brunswick,Women+,60 to 64 years,after_aging,31965.4,2022,fixed20
New Brunswick,Women+,65 to 69 years,after_aging,30168.600000000002,2022,fixed20
New Brunswick,Women+,70 to 74 years,after_aging,26090.4,2022,fixed20
New Brunswick,Women+,75 to 79 years,after_aging,18518.0,2022,fixed20
New Brunswick,Women+,80 to 84 years,after_aging,12532.6,2022,fixed20
New Brunswick,Women+,85 to 89 years,after_aging,8066.6,2022,fixed20
New Brunswick,Women+,90 to 94 years,after_aging,4406.4,2022,fixed20
New Brunswick,Women+,95 to 99 years,after_aging,1727.0,2022,fixed20
New Brunswick,Women+,100 years and older,after_aging,458.6,2022,fixed20
Newfoundland and Labrador,Men+,-1 year,after_aging,0.0,2022,fixed20
Newfoundland and Labrador,Men+,0 to 4 years,after_aging,8139.200000000001,2022,fixed20
Newfoundland and Labrador,Men+,5 to 9 years,after_aging,11514.0,2022,fixed20
Newfoundland and Labrador,Men+,10 to 14 years,after_aging,13084.2,2022,fixed20
Newfoundland and Labrador,Men+,15 to 19 years,after_aging,13462.6,2022,fixed20
Newfoundland and Labrador,Men+,20 to 24 years,after_aging,14565.6,2022,fixed20
Newfoundland and Labrador,Men+,25 to 29 years,after_aging,14365.800000000001,2022,fixed20
Newfoundland and Labrador,Men+,30 to 34 years,after_aging,14633.6,2022,fixed20
Newfoundland and Labrador,Men+,35 to 39 years,after_aging,15104.400000000001,2022,fixed20
Newfoundland and Labrador,Men+,40 to 44 years,after_aging,15566.800000000001,2022,fixed20
Newfoundland and Labrador,Men+,45 to 49 years,after_aging,16886.2,2022,fixed20
Newfoundland and Labrador,Men+,50 to 54 years,after_aging,18886.6,2022,fixed20
Newfoundland and Labrador,Men+,55 to 59 years,after_aging,20897.2,2022,fixed20
Newfoundland and Labrador,Men+,60 to 64 years,after_aging,21362.0,2022,fixed20
Newfoundland and Labrador,Men+,65 to 69 years,after_aging,20284.600000000002,2022,fixed20
Newfoundland and Labrador,Men+,70 to 74 years,after_aging,17463.8,2022,fixed20
Newfoundland and Labrador,Men+,75 to 79 years,after_aging,12119.0,2022,fixed20
Newfoundland and Labrador,Men+,80 to 84 years,after_aging,7030.0,2022,fixed20
Newfoundland and Labrador,Men+,85 to 89 years,after_aging,3495.2000000000003,2022,fixed20
Newfoundland and Labrador,Men+,90 to 94 years,after_aging,1250.4,2022,fixed20
Newfoundland and Labrador,Men+,95 to 99 years,after_aging,303.4,2022,fixed20
Newfoundland and Labrador,Men+,100 years and older,after_aging,45.4,2022,fixed20
Newfoundland and Labrador,Women+,-1 year,after_aging,0.0,2022,fixed20
Newfoundland and Labrador,Women+,0 to 4 years,after_aging,7690.400000000001,2022,fixed20
Newfoundland and Labrador,Women+,5 to 9 years,after_aging,10992.2,2022,fixed20
Newfoundland and Labrador,Women+,10 to 14 years,after_aging,12253.800000000001,2022,fixed20
Newfoundland and Labrador,Women+,15 to 19 years,after_aging,12605.400000000001,2022,fixed20
Newfoundland and Labrador,Women+,20 to 24 years,after_aging,13354.400000000001,2022,fixed20
Newfoundland and Labrador,Women+,25 to 29 years,after_aging,13331.600000000002,2022,fixed20
Newfoundland and Labrador,Women+,30 to 34 years,after_aging,14275.400000000001,2022,fixed20
Newfoundland and Labrador,Women+,35 to 39 years,after_aging,15328.8,2022,fixed20
Newfoundland and Labrador,Women+,40 to 44 years,after_aging,16175.6,2022,fixed20
Newfoundland and Labrador,Women+,45 to 49 years,after_aging,17566.600000000002,2022,fixed20
Newfoundland and Labrador,Women+,50 to 54 years,after_aging,19632.4,2022,fixed20
Newfoundland and Labrador,Women+,55 to 59 years,after_aging,21482.4,2022,fixed20
Newfoundland and Labrador,Women+,60 to 64 years,after_aging,22005.4,2022,fixed20
Newfoundland and Labrador,Women+,65 to 69 years,after_aging,21227.200000000004,2022,fixed20
Newfoundland and Labrador,Women+,70 to 74 years,after_aging,18631.600000000002,2022,fixed20
