alpha_source_65_69,alpha_target_70_74,rmse,mae,max_abs_error,median_abs_error
0.185,0.175,4571.88822437926,4120.732249667577,6326.044956644066,4513.080375265272
0.25,0.255,4575.3029639251945,4169.258916334288,6129.969956644112,4751.825375265325
0.195,0.205,4611.721460946457,4093.0577503323634,6888.278582906525,3650.6096247346723
0.13,0.125,4704.196065100121,4141.584416999074,6991.188582906616,3889.354624734726
0.165,0.15,4732.051097105087,4284.523916334263,6561.074956644094,4617.8903752652695
0.23,0.23,4734.965548251848,4333.050583000993,6364.99995664414,4856.635375265381
0.215,0.23,4745.665438426449,4256.84941699903,7039.813582906558,3755.41962473467
0.15,0.15,4835.202386773211,4305.376083665702,7142.723582906532,3994.1646247346653
0.235,0.255,4882.024593930966,4420.641083665755,7191.34858290659,3860.229624734726
0.145,0.125,4893.047240438149,4448.315583000968,6796.104956644122,4722.700375265325
0.21,0.205,4895.49367650606,4496.84224966766,6600.029956644168,4961.445375265321
0.17,0.175,4968.738440022985,4469.167750332388,7294.258582906565,4098.974624734721
0.255,0.28,5020.602143186379,4584.432750332402,7342.883582906565,3965.0396247346653
0.19,0.18,5056.804919357661,4660.633916334326,6835.059956644196,5066.255375265318
0.255,0.26,5065.794009483982,4709.16058300094,6638.984956644126,5305.000375265256
0.19,0.2,5104.605696017706,4632.959416999035,7445.793582906597,4203.784624734661
0.125,0.12,5194.058410911945,4681.486083665707,7548.703582906572,4442.529624734656
0.17,0.155,5218.826660305774,4824.425583000954,7070.089956644108,5171.065375265316
0.235,0.235,5227.188589140096,4872.952249667646,6874.014956644154,5409.810375265311
0.21,0.225,5242.622912285537,4796.75108366576,7597.32858290663,4308.5946247347165
0.145,0.145,5329.417824359727,4845.277750332393,7700.238582906604,4547.339624734712
0.15,0.13,5381.49472640709,4988.217249667621,7305.1199566441355,5275.875375265314
0.23,0.25,5382.624708371842,4960.542750332369,7748.863582906546,4413.404624734656
0.215,0.21,5389.2662031577665,5036.743916334312,7109.044956644066,5514.620375265367
