operator,stage,geo,year,P1_0_14,P2_15_64,P3_65plus,P_tot
fixed20,after_deaths,Quebec,2024,1359278.4,5555397.800000001,1905660.8000000003,8820337.000000002
fixed20,after_deaths,Quebec,2025,1361854.4000000001,5667446.8,1963643.8,8992945.0
fixed20,after_deaths,Saskatchewan,2023,224400.8,744951.2000000001,211434.0,1180786.0
fixed20,after_deaths,Saskatchewan,2024,227503.2,766317.2000000001,218496.6,1212317.0000000002
fixed20,after_deaths,Saskatchewan,2025,230268.0,794203.8,225371.2,1249843.0
fixed20,after_deaths,Yukon,2023,7049.8,30103.0,6818.2,43971.0
fixed20,after_deaths,Yukon,2024,7166.400000000001,31180.600000000002,7162.0,45509.0
fixed20,after_deaths,Yukon,2025,7326.6,32904.0,7469.400000000001,47700.0
fixed20,after_international,Alberta,2023,836992.8,3108439.0,703736.2000000001,4649168.0
fixed20,after_international,Alberta,2024,860126.4,3258573.6,741936.0,4860636.0
fixed20,after_international,Alberta,2025,872634.2000000001,3350046.6,778527.2000000001,5001208.0
fixed20,after_international,British Columbia,2023,750186.8,3668196.0000000005,1093525.2,5511908.000000001
fixed20,after_international,British Columbia,2024,756229.2,3786345.8000000003,1132666.0,5675241.0
fixed20,after_international,British Columbia,2025,749302.4,3780520.2,1170105.4000000001,5699928.000000001
fixed20,after_international,Manitoba,2023,266296.4,951822.2000000001,245011.40000000002,1463130.0
fixed20,after_international,Manitoba,2024,268884.80000000005,978754.4000000001,252903.80000000002,1500543.0000000002
fixed20,after_international,Manitoba,2025,267857.2,985260.0,260631.80000000002,1513749.0
fixed20,after_international,New Brunswick,2023,116734.6,518678.80000000005,190638.6,826052.0
fixed20,after_international,New Brunswick,2024,120850.4,534824.4,197199.2,852874.0
fixed20,after_international,New Brunswick,2025,122415.40000000001,544502.6,202950.0,869868.0
fixed20,after_international,Newfoundland and Labrador,2023,68650.0,338419.4,130659.6,537729.0
fixed20,after_international,Newfoundland and Labrador,2024,68644.2,342370.80000000005,134763.0,545778.0
fixed20,after_international,Newfoundland and Labrador,2025,68243.4,343145.60000000003,138457.0,549846.0
fixed20,after_international,Nova Scotia,2023,143594.40000000002,670154.2000000001,232267.40000000002,1046016.0000000001
fixed20,after_international,Nova Scotia,2024,146448.2,687583.0,239896.80000000002,1073928.0
fixed20,after_international,Nova Scotia,2025,146121.2,697032.8,246865.0,1090019.0
fixed20,after_international,Ontario,2023,2344512.6,10441881.200000001,2875817.2,15662211.0
fixed20,after_international,Ontario,2024,2376913.2,10831249.200000001,2979323.6,16187486.000000002
fixed20,after_international,Ontario,2025,2377492.8,10817016.8,3081529.4000000004,16276039.000000002
fixed20,after_international,Prince Edward Island,2023,24833.800000000003,111843.20000000001,35586.0,172263.0
fixed20,after_international,Prince Edward Island,2024,25300.0,116515.40000000001,36908.6,178724.00000000003
fixed20,after_international,Prince Edward Island,2025,25292.4,118272.0,38049.6,181614.0
fixed20,after_international,Quebec,2023,1381127.4000000001,5600968.600000001,1849933.0000000002,8832029.000000002
fixed20,after_international,Quebec,2024,1387342.4,5706371.800000001,1908509.8000000003,9002224.000000002
fixed20,after_international,Quebec,2025,1378261.4000000001,5719599.8,1965530.8,9063392.0
fixed20,after_international,Saskatchewan,2023,233089.8,771747.2000000001,212076.0,1216913.0
fixed20,after_international,Saskatchewan,2024,235706.2,796134.2000000001,219080.6,1250921.0000000002
fixed20,after_international,Saskatchewan,2025,234898.0,808710.8,225856.2,1269465.0
fixed20,after_international,Yukon,2023,7197.8,31136.0,6835.2,45169.0
fixed20,after_international,Yukon,2024,7364.400000000001,32385.600000000002,7173.0,46923.0
fixed20,after_international,Yukon,2025,7438.6,33571.0,7489.400000000001,48499.0
fixed20,after_interprovincial,Alberta,2023,845681.3354412337,3136044.686147467,706849.9784112998,4688576.0
fixed20,after_interprovincial,Alberta,2024,869554.6007304633,3294395.48058605,745079.918683487,4909030.0
fixed20,after_interprovincial,Alberta,2025,878511.0581807615,3370097.6476605637,780737.2941586749,5029346.0
fixed20,after_interprovincial,British Columbia,2023,750697.736199217,3670811.5271926075,1093786.736608176,5515296.0
fixed20,after_interprovincial,British Columbia,2024,755642.3752379226,3783119.6852352037,1132351.9395268739,5671114.0
fixed20,after_interprovincial,British Columbia,2025,748940.5145605598,3778676.855381348,1169918.6300580925,5697536.0
fixed20,after_interprovincial,Manitoba,2023,264602.761435175,944239.0699097513,244360.16865507376,1453202.0
fixed20,after_interprovincial,Manitoba,2024,267407.90952303173,972436.6288467821,252299.4616301862,1492144.0000000002
fixed20,after_interprovincial,Manitoba,2025,267162.7826017558,982197.7807661613,260341.436632083,1509702.0000000002
fixed20,after_interprovincial,New Brunswick,2023,117767.93625532441,522238.4157787518,191096.64796592382,831103.0
fixed20,after_interprovincial,New Brunswick,2024,121752.57671416394,538936.662696383,197603.7605894532,858293.0
fixed20,after_interprovincial,New Brunswick,2025,122379.94625192886,544368.1416226752,202933.91212539593,869682.0000000001
fixed20,after_interprovincial,Newfoundland and Labrador,2023,68828.47730600294,339178.59872221487,130781.92397178225,538789.0
fixed20,after_interprovincial,Newfoundland and Labrador,2024,68818.86230005516,343181.22705460567,134868.91064533923,546869.0
fixed20,after_interprovincial,Newfoundland and Labrador,2025,68254.374164884,343192.8659206846,138463.75991443146,549911.0
fixed20,after_interprovincial,Nova Scotia,2023,144758.51795929112,675420.170521144,232826.31151956486,1053005.0
fixed20,after_interprovincial,Nova Scotia,2024,147557.14991868564,694742.8791126308,240468.97096868357,1082769.0
fixed20,after_interprovincial,Nova Scotia,2025,146619.53773213114,699513.1234012062,247112.3388666627,1093245.0
fixed20,after_interprovincial,Ontario,2023,2339202.8952694237,10419114.899874687,2874163.20485589,15632481.0
fixed20,after_interprovincial,Ontario,2024,2369225.7219007667,10798707.251178939,2976864.0269202953,16144797.0
fixed20,after_interprovincial,Ontario,2025,2374258.0895612007,10803505.307467284,3080496.6029715165,16258260.0
fixed20,after_interprovincial,Prince Edward Island,2023,25036.333006412675,113002.63210109393,35695.0348924934,173734.0
