operator,stage,geo,year,P1_0_14,P2_15_64,P3_65plus,P_tot
fixed20,after_international,Prince Edward Island,2024,25300.0,116515.40000000001,36908.6,178724.00000000003
fixed20,after_international,Prince Edward Island,2025,25292.4,118272.0,38049.6,181614.0
fixed20,after_international,Quebec,2022,1370257.6,5513452.4,1792782.0000000002,8676492.0
fixed20,after_international,Quebec,2023,1381127.4000000001,5600968.600000001,1849933.0000000002,8832029.000000002
fixed20,after_international,Quebec,2024,1387342.4,5706371.800000001,1908509.8000000003,9002224.000000002
fixed20,after_international,Quebec,2025,1378261.4000000001,5719599.8,1965530.8,9063392.0
fixed20,after_international,Saskatchewan,2022,228950.6,753685.2000000001,205653.2,1188289.0
fixed20,after_international,Saskatchewan,2023,233089.8,771747.2000000001,212076.0,1216913.0
fixed20,after_international,Saskatchewan,2024,235706.2,796134.2000000001,219080.6,1250921.0000000002
fixed20,after_international,Saskatchewan,2025,234898.0,808710.8,225856.2,1269465.0
fixed20,after_international,Yukon,2022,7084.400000000001,29917.800000000003,6579.8,43582.00000000001
fixed20,after_international,Yukon,2023,7197.8,31136.0,6835.2,45169.0
fixed20,after_international,Yukon,2024,7364.400000000001,32385.600000000002,7173.0,46923.0
fixed20,after_international,Yukon,2025,7438.6,33571.0,7489.400000000001,48499.0
fixed20,after_interprovincial,Alberta,2022,827606.6218504498,3015100.0609679655,670024.317181585,4512731.000000001
fixed20,after_interprovincial,Alberta,2023,845681.3354412337,3136044.686147467,706849.9784112998,4688576.0
fixed20,after_interprovincial,Alberta,2024,869554.6007304633,3294395.48058605,745079.918683487,4909030.0
fixed20,after_interprovincial,Alberta,2025,878511.0581807615,3370097.6476605637,780737.2941586749,5029346.0
fixed20,after_interprovincial,British Columbia,2022,744418.5018524722,3556014.898018705,1058411.600128823,5358845.0
fixed20,after_interprovincial,British Columbia,2023,750697.736199217,3670811.5271926075,1093786.736608176,5515296.0
fixed20,after_interprovincial,British Columbia,2024,755642.3752379226,3783119.6852352037,1132351.9395268739,5671114.0
