geo,gender,age_single,year,population
British Columbia,Women+,8,2021,24185.0
Yukon,Men+,8,2021,250.0
Yukon,Women+,8,2021,215.0
Northwest Territories,Men+,8,2021,265.0
Northwest Territories,Women+,8,2021,275.0
Nunavut,Men+,8,2021,420.0
Nunavut,Women+,8,2021,375.0
Newfoundland and Labrador,Men+,9,2021,2365.0
Newfoundland and Labrador,Women+,9,2021,2330.0
Prince Edward Island,Men+,9,2021,865.0
Prince Edward Island,Women+,9,2021,840.0
Nova Scotia,Men+,9,2021,4985.0
Nova Scotia,Women+,9,2021,4750.0
New Brunswick,Men+,9,2021,4000.0
New Brunswick,Women+,9,2021,3880.0
Quebec,Men+,9,2021,49940.0
Quebec,Women+,9,2021,47905.0
Ontario,Men+,9,2021,80655.0
Ontario,Women+,9,2021,76440.0
Manitoba,Men+,9,2021,8780.0
Manitoba,Women+,9,2021,8355.0
Saskatchewan,Men+,9,2021,7930.0
Saskatchewan,Women+,9,2021,7425.0
Alberta,Men+,9,2021,28880.0
Alberta,Women+,9,2021,26960.0
British Columbia,Men+,9,2021,25600.0
British Columbia,Women+,9,2021,23975.0
Yukon,Men+,9,2021,275.0
Yukon,Women+,9,2021,240.0
Northwest Territories,Men+,9,2021,295.0
Northwest Territories,Women+,9,2021,270.0
Nunavut,Men+,9,2021,355.0
Nunavut,Women+,9,2021,390.0
Newfoundland and Labrador,Men+,10,2021,2565.0
Newfoundland and Labrador,Women+,10,2021,2490.0
Prince Edward Island,Men+,10,2021,885.0
Prince Edward Island,Women+,10,2021,820.0
Nova Scotia,Men+,10,2021,5025.0
Nova Scotia,Women+,10,2021,4765.0
New Brunswick,Men+,10,2021,4055.0
New Brunswick,Women+,10,2021,3930.0
Quebec,Men+,10,2021,50565.0
Quebec,Women+,10,2021,48045.0
Ontario,Men+,10,2021,80690.0
Ontario,Women+,10,2021,76460.0
Manitoba,Men+,10,2021,8885.0
Manitoba,Women+,10,2021,8290.0
Saskatchewan,Men+,10,2021,8080.0
Saskatchewan,Women+,10,2021,7545.0
Alberta,Men+,10,2021,28645.0
Alberta,Women+,10,2021,27235.0
British Columbia,Men+,10,2021,25765.0
British Columbia,Women+,10,2021,24175.0
Yukon,Men+,10,2021,225.0
Yukon,Women+,10,2021,235.0
Northwest Territories,Men+,10,2021,280.0
Northwest Territories,Women+,10,2021,290.0
Nunavut,Men+,10,2021,400.0
Nunavut,Women+,10,2021,400.0
Newfoundland and Labrador,Men+,11,2021,2800.0
Newfoundland and Labrador,Women+,11,2021,2525.0
Prince Edward Island,Men+,11,2021,895.0
Prince Edward Island,Women+,11,2021,865.0
Nova Scotia,Men+,11,2021,5265.0
Nova Scotia,Women+,11,2021,4890.0
New Brunswick,Men+,11,2021,4070.0
New Brunswick,Women+,11,2021,4105.0
Quebec,Men+,11,2021,51220.0
Quebec,Women+,11,2021,48785.0
Ontario,Men+,11,2021,82210.0
Ontario,Women+,11,2021,78155.0
Manitoba,Men+,11,2021,8905.0
Manitoba,Women+,11,2021,8610.0
Saskatchewan,Men+,11,2021,7970.0
Saskatchewan,Women+,11,2021,7625.0
Alberta,Men+,11,2021,29605.0
Alberta,Women+,11,2021,27690.0
British Columbia,Men+,11,2021,26445.0
British Columbia,Women+,11,2021,24720.0
Yukon,Men+,11,2021,255.0
Yukon,Women+,11,2021,200.0
Northwest Territories,Men+,11,2021,310.0
Northwest Territories,Women+,11,2021,320.0
Nunavut,Men+,11,2021,380.0
Nunavut,Women+,11,2021,390.0
Newfoundland and Labrador,Men+,12,2021,2710.0
Newfoundland and Labrador,Women+,12,2021,2580.0
Prince Edward Island,Men+,12,2021,915.0
Prince Edward Island,Women+,12,2021,865.0
Nova Scotia,Men+,12,2021,5060.0
Nova Scotia,Women+,12,2021,4835.0
New Brunswick,Men+,12,2021,4215.0
New Brunswick,Women+,12,2021,4015.0
Quebec,Men+,12,2021,51350.0
Quebec,Women+,12,2021,48835.0
Ontario,Men+,12,2021,83390.0
Ontario,Women+,12,2021,78535.0
Manitoba,Men+,12,2021,8975.0
Manitoba,Women+,12,2021,8510.0
Saskatchewan,Men+,12,2021,8135.0
Saskatchewan,Women+,12,2021,7595.0
Alberta,Men+,12,2021,29310.0
Alberta,Women+,12,2021,27655.0
British Columbia,Men+,12,2021,27170.0
British Columbia,Women+,12,2021,24970.0
Yukon,Men+,12,2021,260.0
Yukon,Women+,12,2021,220.0
Northwest Territories,Men+,12,2021,265.0
Northwest Territories,Women+,12,2021,270.0
Nunavut,Men+,12,2021,350.0
Nunavut,Women+,12,2021,360.0
Newfoundland and Labrador,Men+,13,2021,2700.0
Newfoundland and Labrador,Women+,13,2021,2605.0
Prince Edward Island,Men+,13,2021,855.0
Prince Edward Island,Women+,13,2021,920.0
Nova Scotia,Men+,13,2021,5215.0
Nova Scotia,Women+,13,2021,4790.0
New Brunswick,Men+,13,2021,4315.0
New Brunswick,Women+,13,2021,3930.0
Quebec,Men+,13,2021,49705.0
Quebec,Women+,13,2021,47485.0
Ontario,Men+,13,2021,84385.0
Ontario,Women+,13,2021,79340.0
Manitoba,Men+,13,2021,8880.0
Manitoba,Women+,13,2021,8430.0
