"Age (in single years), average age and median age and gender: Canada, provinces and territories, census divisions, census subdivisions and dissemination areas"
"Frequency: Occasional"
"Table: 98-10-0023-01"
"Release date: 2022-04-27"
"Geography: Canada, Province or territory, Census division, Census subdivision, Dissemination area"
"Universe: Total population, including institutional residents, 2021 Census — 100% data"
"Variable List: Age (in single years), average age and median age (128), Gender (3)"

"Geography","Newfoundland and Labrador i2",,"Prince Edward Island i1468",,"Nova Scotia i1889",,"New Brunswick i3673",,"Quebec i5425",,"Ontario i20612",,"Manitoba i41707",,"Saskatchewan i44193",,"Alberta i47788",,"British Columbia i54434",,"Yukon i63063",,"Northwest Territories i63174",,"Nunavut i63320",
"Gender (3) 2 3","Men+ 4","Women+ 5","Men+ 4","Women+ 5","Men+ 4","Women+ 5","Men+ 4","Women+ 5","Men+ 4","Women+ 5","Men+ 4","Women+ 5","Men+ 4","Women+ 5","Men+ 4","Women+ 5","Men+ 4","Women+ 5","Men+ 4","Women+ 5","Men+ 4","Women+ 5","Men+ 4","Women+ 5","Men+ 4","Women+ 5"
"Age (in single years), average age and median age (128) 1","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021"
"66","4,125","4,235","1,030","1,125","6,950","7,445","5,680","6,260","56,150","58,755","81,720","89,965","7,630","7,935","6,905","7,065","23,160","23,380","31,805","35,105","260","260","185","200","100","65"
"67","3,970","4,220","1,000","1,150","6,600","7,275","5,705","5,915","53,110","56,225","76,985","85,880","7,160","7,605","6,520","6,630","21,470","22,305","30,330","33,530","250","235","200","160","80","70"
"68","3,860","4,050","930","1,055","6,275","6,780","5,350","5,785","49,940","53,165","73,500","81,645","6,625","7,285","6,080","6,060","19,870","20,480","29,580","32,025","225","200","160","135","65","55"
"69","3,715","3,915","975","955","5,910","6,590","5,090","5,530","48,285","51,215","70,290","78,070","6,400","6,765","5,590","5,690","18,165","19,215","28,285","30,705","205","185","140","120","65","60"
"70 to 74 years","16,600","17,805","4,420","4,770","28,300","31,135","23,725","25,135","217,985","237,910","325,440","365,840","28,295","31,660","23,785","25,155","79,155","84,740","130,365","141,995","925","835","595","520","255","225"
"70","3,705","3,865","905","945","5,870","6,440","4,890","5,180","46,930","50,675","68,360","75,830","6,010","6,810","5,240","5,435","17,370","18,140","27,415","29,740","225","200","160","125","80","60"
"71","3,465","3,705","865","1,010","5,805","6,135","4,885","5,135","44,865","48,370","65,560","74,230","5,850","6,435","5,010","5,150","16,580","17,575","27,010","29,490","180","175","115","115","45","50"
"72","3,220","3,570","855","975","5,530","6,160","4,740","5,095","43,630","47,985","64,220","72,170","5,570","6,165","4,730","4,965","15,375","16,650","25,695","28,000","185","160","110","120","50","45"
"73","3,205","3,395","900","945","5,675","6,240","4,720","4,875","42,000","45,925","64,120","72,075","5,460","6,310","4,455","4,850","15,405","16,530","25,625","27,685","160","155","110","75","45","30"
"74","3,010","3,265","895","895","5,410","6,160","4,480","4,840","40,565","44,960","63,180","71,535","5,410","5,935","4,360","4,755","14,420","15,845","24,625","27,075","180","140","105","90","40","40"
"75 to 79 years","10,580","11,780","2,680","3,100","18,400","20,925","15,095","16,580","153,795","177,050","217,490","251,995","18,500","21,390","15,610","17,440","49,865","55,660","86,060","95,015","565","465","350","345","115","105"
"75","2,780","3,140","645","700","4,365","4,775","3,470","3,865","36,045","40,490","49,525","56,435","4,195","5,005","3,595","3,855","11,585","12,870","19,210","21,240","125","110","105","85","30","30"
"76","2,245","2,395","580","675","3,910","4,330","3,195","3,495","33,620","38,255","46,015","52,620","4,015","4,425","3,375","3,640","10,630","11,765","18,320","20,015","150","110","60","70","30","25"
"77","2,125","2,295","570","700","3,660","4,250","3,000","3,425","30,585","35,640","44,135","50,865","3,780","4,230","3,140","3,445","10,240","11,130","17,710","19,440","115","105","75","60","25","20"
"78","1,865","2,080","465","500","3,430","4,020","2,870","2,960","28,505","32,715","41,160","48,150","3,490","4,065","2,925","3,400","9,325","10,515","16,370","18,040","80","85","70","60","15","20"
"79","1,565","1,865","415","515","3,030","3,555","2,565","2,840","25,035","29,950","36,655","43,930","3,025","3,660","2,575","3,100","8,080","9,375","14,460","16,280","90","55","40","75","20","15"
"80 to 84 years","5,960","7,275","1,615","2,110","11,095","14,040","9,090","11,315","90,820","119,585","143,065","182,045","11,705","15,190","10,290","13,170","31,515","38,650","55,280","65,775","275","235","150","205","50","55"
"80","1,505","1,680","405","480","2,755","3,245","2,235","2,765","22,975","28,580","33,910","41,725","2,885","3,605","2,510","3,065","7,795","9,165","13,430","15,655","60","60","35","50","20","15"
"81","1,350","1,575","345","480","2,295","3,045","1,970","2,400","19,945","25,835","30,950","38,985","2,485","3,240","2,240","2,690","6,985","8,235","12,055","13,760","60","55","25","45","10","15"
"82","1,165","1,485","315","430","2,240","2,845","1,845","2,360","17,900","23,595","28,750","36,605","2,355","3,065","2,110","2,545","6,025","7,570","10,975","12,995","50","40","15","45","10","10"
"83","1,030","1,335","280","375","2,045","2,620","1,605","1,950","15,895","21,715","26,005","33,990","2,185","2,770","1,825","2,595","5,725","7,150","9,940","12,165","60","35","40","30","10","15"
"84","910","1,200","275","340","1,760","2,280","1,430","1,840","14,100","19,860","23,455","30,740","1,790","2,510","1,610","2,275","4,985","6,535","8,880","11,200","35","50","30","35","5","5"
"85 years and over","3,815","6,340","1,285","2,225","8,325","14,715","6,870","12,175","75,305","139,115","126,565","212,050","10,190","19,065","9,940","17,820","27,655","44,720","49,230","73,235","175","210","145","150","35","45"
"85 to 89 years","2,835","3,910","880","1,350","5,855","8,740","4,695","7,120","50,605","81,155","83,875","121,605","6,615","10,580","6,290","9,875","18,540","26,130","32,310","42,005","115","140","90","65","25","35"
"85","730","1,035","225","340","1,620","2,050","1,290","1,700","12,950","18,805","21,680","29,065","1,680","2,580","1,550","2,290","4,695","6,170","8,325","10,165","30","25","25","15","10","10"
"86","665","895","195","305","1,360","1,885","1,010","1,595","11,070","17,270","18,775","26,355","1,470","2,240","1,365","2,090","4,180","5,790","7,165","9,115","30","35","30","15","5","5"
"87","560","745","185","260","1,115","1,770","865","1,380","9,840","16,000","16,410","23,700","1,355","2,015","1,255","1,980","3,645","5,075","6,375","8,160","20","35","10","20","5","15"
"88","455","680","150","240","940","1,625","805","1,335","8,865","15,465","14,550","22,240","1,105","1,915","1,040","1,830","3,270","4,780","5,570","7,610","10","25","15","5","5","0"
"89","425","560","120","205","830","1,410","725","1,115","7,885","13,600","12,465","20,240","1,000","1,840","1,080","1,685","2,745","4,315","4,885","6,960","25","20","15","10","5","5"
"90 to 94 years","840","1,875","310","640","2,045","4,300","1,725","3,645","20,490","44,530","34,720","66,710","2,845","6,125","2,965","5,750","7,540","13,890","13,720","23,125","55","60","45","75","5","15"
"90","275","535","105","160","680","1,245","560","985","6,345","12,315","10,755","18,040","815","1,550","815","1,505","2,360","3,930","4,305","6,415","20","15","5","35","0","10"
"91","220","465","80","175","465","970","405","830","4,945","10,265","8,295","15,340","675","1,435","750","1,470","1,900","3,195","3,300","5,420","15","15","10","0","0","0"
